0,177.125894823,89.1118892257
40,179.646076092,88.8111262432
80,180.449909893,89.0093138232
120,181.009457788,88.8841583626
160,181.947784335,88.647656824
200,182.783926679,88.8274601102
240,184.036848458,88.8941935721
280,184.867349999,88.8960881768
320,185.729243534,89.0875636263
360,187.191629815,89.5436847007
400,188.183242526,90.0105645705
440,189.410352406,90.5512646649
480,190.131280487,90.7207051314
520,190.988290376,91.1499472567
560,192.314731096,91.1166343036
600,192.948067624,91.1046194892
640,193.448780436,91.7860773263
680,193.472301737,91.9350467718
720,193.294955441,91.9580122751
760,192.753968906,92.1994336383
800,192.487271295,92.2504764549
840,192.205850931,92.3685703151
880,192.096828188,92.3933669741
920,192.024490091,92.3784860753
960,191.769509257,92.3691476488
1000,191.29979546,92.3826860837
1040,190.656227274,92.3569653846
1080,190.2958333,92.2007758255
1120,190.054226553,91.9726714155
1160,189.849844921,91.7088597391
1200,189.628689275,91.5112374642
1240,189.331577551,91.254110814
1280,188.772519534,91.3849454057
1320,188.08768395,91.4701380887
1360,187.126548953,91.3551259883
1400,186.554828398,91.2129471704
1440,186.034179228,91.2055165724
1480,185.351628809,90.9905965083
1520,185.008817629,90.9401990402
1560,184.125920447,90.8799682683
1600,183.465986484,90.6806656837
1640,182.837666987,90.4447479689
1680,182.555310799,90.7592567737
1720,182.378666968,90.6374615295
1760,181.716168318,90.6302719476
1800,181.287585699,90.6327145469
1840,180.906629213,90.6618974694
1880,180.552362774,90.8667210794
1920,180.474824064,90.9750220589
1960,180.148511159,90.968848137
2000,179.712568997,90.8966564583
2040,179.316282448,90.7429408091
2080,178.574923676,90.3486725547
2120,178.044723357,90.0043228182
2160,176.854322325,89.3709484072
2200,175.861931393,88.6535939496
2240,174.819904365,87.4034741405
2280,173.365229973,85.3242381606
2320,172.309481007,84.1507417103
2360,170.312566124,83.4336129413
2400,168.4131075,84.1196415593
2440,166.194903984,85.4074633846
2480,163.309233026,87.4092806576
2520,161.802756614,88.3018453242
2560,160.285927388,89.3799506997
2600,159.777819163,89.6622551148
2640,159.636063774,89.6331053642
2680,158.927980881,89.7097408605
2720,157.747610682,90.3838579288
2760,155.635138113,91.6562732073
2800,154.0918696,92.5154205689
2840,152.377286539,93.2502484282
2880,150.080116514,94.0568603744
2920,148.614842971,94.6003028068
2960,147.392419052,95.0691593035
3000,145.929655319,95.9043507176
3040,145.114141529,96.3895967841
3080,144.893018617,95.8848026693
3120,145.140759062,95.8883774689
3160,145.205470028,96.1028635892
3200,145.20674909,96.268708738
3240,144.733720547,95.7162739214
3280,144.712349384,94.3293128985
3320,144.43124946,94.4003748793
3360,144.135394236,94.2087301761
3400,143.260422894,94.4926048708
3440,142.32281864,94.3097322283
3480,141.29638773,93.8663347506
3520,140.738617035,93.7816142103
3560,140.182401778,93.9829279044
3600,140.074690557,93.769582434
3640,140.365069171,93.5604897328
3680,141.434517577,92.3242796266
3720,141.948874599,92.3152538926
3760,142.172884072,92.521993142
3800,142.860437268,92.4857585682
3840,143.517275753,92.0033655094
3880,143.708396347,92.1086150307
3920,143.972060455,92.2313561163
3960,144.479034733,92.9479179208
4000,145.254580015,93.3294336344
4040,145.325161188,94.4702830415
4080,145.385212608,94.3698206956
4120,145.149331261,94.5421549724
4160,144.809720357,94.6077106888
4200,144.852481859,93.7073974167
4240,145.77366706,92.9124075591
4280,147.171337104,92.3966652325
4320,149.662836441,92.5940589933
4360,151.420520967,93.0113459297
4400,154.383907056,93.2452922257
4440,156.562953237,93.543375956
4480,158.833314256,93.8674689105
4520,162.461184442,94.2951582851
4560,164.447460022,94.5882936829
4600,167.316164674,94.5219433029
4640,169.311154489,94.7954752172
4680,171.001477214,95.3495098778
4720,173.037427603,96.1403495325
4760,173.9954089,96.7511330285
4800,174.880483493,97.6375694711
4840,175.309077359,98.1995239925
4880,175.570839708,98.6876031848
4920,175.7869467,99.1632261387
4960,176.326750965,99.1443830511
5000,177.047924842,99.3505078428
5040,177.497487507,99.7912515324
5080,177.571897428,100.558469437
5120,177.430905575,101.166919529
5160,177.269726572,101.252688836
5200,176.717783087,101.523406113
5240,176.301802823,101.604054771
5280,175.982249974,101.504147031
5320,175.832251642,101.246231882
5360,175.798804146,101.122707186
5400,175.991713735,101.259952637
5440,175.992793699,101.191417966
5480,176.098472594,101.039010407
5520,176.225680279,101.066930604
5560,176.592628909,101.045504582
5600,177.583129929,101.089734261
5640,178.414400424,101.241733179
5680,179.347655965,101.433639606
5720,180.243145268,101.489524345
5760,180.793447638,101.595638424
5800,181.437698194,101.785722815
5840,182.698730396,101.994594214
5880,183.761499757,102.278439097
5920,185.64464888,102.984189325
5960,186.888382261,103.675023171
6000,188.165961447,104.321624084
6040,189.92564638,105.201072576
6080,190.993461115,105.887720699
6120,192.664963929,107.138166728
6160,193.976389115,108.301082181
6200,195.602657879,109.769774724
6240,198.490863936,112.773627386
6280,200.817142601,115.028552422
6320,204.339374126,117.812995049
6360,206.514714743,119.219084055
6400,208.628352064,120.408167049
6440,212.141895712,121.73203915
6480,214.84051185,122.431106912
6520,219.219583066,123.584197519
6560,222.082988199,124.356597295
6600,224.913223126,125.15607726
6640,229.076269166,126.041478609
6680,231.700558362,126.407778817
6720,234.897607322,126.905941405
