Timestamp, yaw, pitch, roll
0.0,0.0438038395894,0.0378161887941,0.0235605436523
0.021,0.0389044266025,0.0424817133779,0.0302639408639
0.037,0.0371404350362,0.0442831123022,0.0330793591251
0.053,0.0354522994934,0.0454424091588,0.0356498613554
0.07,0.0341298863064,0.0460146135737,0.0389835290134
0.087,0.0335390942395,0.0462900176649,0.0429087975074
0.104,0.0333255858158,0.0461816578703,0.046188165755
0.12,0.0332812482852,0.0463732163068,0.0488779385231
0.138,0.0335564147779,0.0464461499171,0.0507813461205
0.154,0.0340887753282,0.0465386819512,0.0529668505065
0.17,0.0348157044347,0.0469916125817,0.0553923247378
0.187,0.0359032035893,0.0476179107356,0.0577399451456
0.204,0.0369031229796,0.0479699311117,0.0598870989859
0.22,0.0374068350606,0.0486542837437,0.061518056577
0.237,0.0384914759541,0.0492724120789,0.063439059757
0.254,0.0390437709433,0.0496166733134,0.06487953497
0.271,0.0398925612633,0.0499446528423,0.0676606441409
0.288,0.0405644709061,0.0504599895442,0.0697916561163
0.304,0.0405681201753,0.0507683124187,0.0709030620325
0.321,0.0407685802783,0.0509241458126,0.0716068327672
0.337,0.0409711023187,0.0512896178374,0.0727129784395
0.354,0.0409003208724,0.0513713415353,0.0728712642609
0.371,0.040857616172,0.0515579851482,0.0733407054171
0.387,0.0407660345916,0.0517299598663,0.0737242780717
0.404,0.0406799532927,0.0518028219009,0.0739313560074
0.421,0.0405424138215,0.0518767783887,0.0739138938082
0.438,0.0402662835095,0.051808062712,0.0734203192278
0.454,0.040096320571,0.0514025957935,0.0726383152292
0.471,0.0402110840472,0.0507167243684,0.0713293831449
0.488,0.0409045712667,0.0490578318901,0.0688135120826
0.506,0.0432463992336,0.0466330263838,0.064989740465
0.523,0.0465201551858,0.0438074190012,0.0607303878361
0.539,0.0501576447331,0.0413914038744,0.0565370270291
0.554,0.0545309892072,0.0392553972535,0.0526593684752
0.572,0.0591884003908,0.0366475081865,0.0487263000579
0.588,0.0641744829236,0.0341668864253,0.0458741531892
0.605,0.0694052537559,0.0320290315641,0.0439725832848
0.621,0.0757491034381,0.0301066395925,0.0426084957192
0.638,0.0813872927121,0.0285909207974,0.0407494120309
0.655,0.0876737083821,0.0262764695949,0.0383958139508
0.672,0.0945552113558,0.0241902228065,0.035320781783
0.688,0.101518673807,0.022248580474,0.0318789825352
0.705,0.108572303547,0.0200707272117,0.0272973147917
0.722,0.115176471466,0.017508874415,0.0219072735999
0.738,0.121723484781,0.0154575161801,0.0159372933458
0.755,0.128147740421,0.0134994594905,0.00966707871138
0.773,0.134511920005,0.01182193715,0.003411463562
