18.75,25.46,27.55,23.90
19.72,60.80,18.91,19.35
59.71,39.37,22.22,28.96
64.31,48.72,10.57,16.82
88.92,49.38,9.68,12.41
67.65,70.77,7.40,15.60
87.88,59.71,21.00,16.73
61.78,73.06,12.57,6.08
54.55,63.77,11.72,14.91
35.65,50.11,16.61,15.53
77.21,76.67,12.15,12.05
58.60,97.23,12.32,10.22
39.78,36.64,15.57,8.88
75.86,86.87,11.25,14.31
52.80,116.51,16.14,7.41
65.15,41.51,16.79,11.16
78.83,45.33,11.73,9.09
59.54,43.03,3.79,13.58
51.70,31.67,15.29,11.08
60.90,51.75,10.61,11.67
41.44,53.60,11.90,12.29
67.88,39.46,13.69,6.90
61.61,53.04,8.74,17.15
49.59,44.24,9.40,12.07
58.55,35.12,20.46,5.78
37.03,63.79,6.15,7.72
40.15,48.11,4.94,13.44
38.02,38.86,4.79,6.81
56.39,52.21,11.64,7.68
81.74,36.63,15.91,12.37
22.98,73.34,14.56,17.69
32.07,77.88,18.12,10.55
55.04,66.49,10.03,7.97
58.17,79.60,9.27,7.08
53.66,79.64,10.88,12.59
51.28,50.93,8.06,11.39
49.42,42.28,11.27,5.72
61.62,54.22,9.13,9.58
46.87,43.44,27.95,6.04
36.61,51.93,3.61,21.64
74.52,39.00,11.56,7.33
46.79,53.90,8.15,12.82
41.04,45.96,6.77,11.17
64.28,35.42,10.34,12.26
51.03,44.05,10.37,21.45
48.62,34.74,11.01,12.22
47.81,36.91,14.08,10.16
64.06,58.77,13.32,7.44
47.85,63.94,12.05,9.71
46.04,53.98,8.56,9.19
68.37,55.81,16.93,10.36
71.90,51.53,9.09,5.42
57.72,53.39,8.25,4.30
38.49,48.36,10.24,22.81
13.50,53.65,8.20,12.87
37.03,58.85,8.37,5.80
48.31,49.69,6.88,10.91
65.79,33.59,7.34,4.36
40.53,47.27,9.30,8.20
56.66,43.45,10.23,8.65
