25.26,33.65,33.61,26.46
47.36,77.33,35.59,16.20
81.23,44.32,25.74,47.02
77.86,54.57,12.58,35.41
108.39,55.03,25.50,22.28
87.26,78.07,13.58,18.23
99.04,79.33,29.76,19.74
79.47,90.77,34.74,4.73
58.38,65.47,11.77,16.76
67.85,65.28,34.85,17.55
99.89,97.93,18.13,30.27
79.43,101.89,20.72,15.38
41.90,43.32,19.06,14.92
100.38,89.37,13.10,25.27
82.53,135.72,18.50,4.37
81.16,69.33,18.91,17.10
88.64,96.61,13.00,39.95
89.89,70.63,17.80,19.31
75.01,32.22,19.47,14.56
100.40,53.39,18.44,46.57
71.49,81.35,18.50,24.00
82.96,70.20,25.15,7.32
66.47,64.67,25.30,22.01
87.02,52.39,11.04,22.73
81.21,73.65,32.06,9.02
71.68,100.92,13.63,7.64
67.25,101.12,10.34,16.69
42.51,47.85,8.31,9.20
83.22,76.25,38.08,11.23
108.01,55.55,23.18,13.21
68.26,77.38,24.83,33.34
70.65,124.60,55.92,86.59
68.28,91.33,12.16,8.19
63.82,91.00,11.05,7.88
54.70,95.17,30.57,35.87
57.01,58.98,9.74,15.34
70.86,97.49,12.68,5.02
89.66,75.88,35.38,8.95
78.43,64.93,29.83,8.31
104.32,55.78,10.89,34.20
88.16,69.55,23.21,10.53
52.12,56.63,12.35,15.80
66.17,51.55,15.43,18.92
73.94,86.43,13.93,22.24
66.55,52.15,12.96,35.01
53.41,67.30,12.94,16.01
49.19,73.36,15.98,13.11
97.98,77.66,25.89,39.71
84.19,67.81,16.76,10.76
60.50,69.78,24.71,8.33
74.53,57.02,27.50,42.83
112.73,92.65,12.83,8.48
71.73,83.59,35.83,22.35
74.34,76.38,26.72,18.74
75.78,62.48,30.09,13.93
81.09,107.25,26.19,4.89
81.50,56.52,24.23,49.34
124.98,62.74,13.29,8.12
42.89,65.83,16.23,13.22
63.41,52.79,26.09,14.55
