1_1:9260,9125,8308,8759,8814,8632,8439,8691,8710,10344,10127,9489,9604,9707,9970,9562,9151,9160,9412,8156,9357,9229,8664,8028,7987,7646,8395,9402,8522,8513,8496,6317,7394,7446,6651,6009,7277,8074,8269,6418,8311,9326,9390,9377,9335,9634,7834,8261,7195,6328,6080,6612,7554,8135,7484,6821,8584,9507,10518
1_2:9335,8726,8578,8153,7070,8009,7747,8928,9670,9065,9116,9606,9533,10137,10470,8793,9369,9942,9413,8525,7874,7073,7319,7602,7869,8141,8656,9249,8084,6410,7010,6619,7500,7429,6355,6135,7254,8754,6710,7337,8845,9190,9688,9093,9000,7776,6105,7318,6804,6244,6602,7676,7830,6858,7656,7471,9312,9247,10330
1_3:9040,8172,8870,7196,6923,8184,8024,8140,9518,10385,9720,10449,10569,10582,9809,9377,9051,9268,8722,8258,8412,8917,8930,8908,8956,8664,7991,7148,6462,6532,7604,6885,7053,6956,6709,7019,7647,7797,8364,9044,9375,8789,9165,8352,7595,7154,5623,6817,6706,6389,6628,6539,7026,7888,8292,7528,8617,9029,9549
1_4:7554,7262,7258,6459,6751,7536,7794,8963,9451,9321,9082,9346,9625,9362,9653,9328,9770,10080,9126,9230,9627,9349,9220,8675,8152,7421,7704,7949,8290,8142,8537,7897,8110,8045,8475,8844,8887,9156,9502,9448,8954,8523,8458,7894,7776,6400,6178,6411,6848,5921,6081,6283,7431,9171,8368,7583,10006,9707,10206
1_5:8073,8255,8830,8300,8477,9337,9118,9762,9795,9274,9082,9132,8651,8391,8579,8397,8803,8722,8609,8753,9133,8417,8492,8592,8240,7458,7229,7877,8274,8434,9070,8619,8701,7954,8351,8421,8923,8753,8457,8590,7976,7707,8185,8110,7768,6630,6442,6068,6564,7134,6922,6770,7395,8249,8512,7819,10021,10303,11613
1_6:9552,9513,9687,9016,9034,9823,10358,10388,10199,9987,10490,9334,8874,7722,8105,7536,7961,8138,8487,8033,8718,7882,8593,9215,9667,9424,8389,8872,8547,8870,10026,9572,9743,9632,9565,9119,7951,8576,8177,8241,7883,8054,8153,8565,8273,7759,8014,7547,8249,8407,7616,7636,7969,8040,8003,8204,10433,10910,11241
1_7:9131,8552,9035,8578,8884,9965,10756,10191,9974,9705,10088,11361,10258,8663,9236,8836,8536,8151,8214,8591,8805,8719,9274,8583,8161,8533,9448,10276,8808,8437,9609,9491,10087,9799,9069,10236,9960,8909,7737,7365,7907,8543,8649,8468,8024,8088,8326,8235,8107,8297,7846,7879,8525,9011,9059,7897,10954,11457,11041
1_8:9452,9139,8118,8714,8811,9259,9787,10279,10158,10861,11034,11981,11016,9791,8554,8924,9592,9843,9222,8360,7587,7154,7961,8911,8243,7618,6750,8405,9692,9062,8377,7807,8855,9281,9819,8841,9852,9569,9274,7768,7874,8081,8319,7780,7546,7721,7204,8116,7666,7432,7202,7887,8731,8799,8932,8019,10048,10515,10635
1_9:8397,8130,8274,7672,6967,8253,8077,8044,7653,9031,9525,10142,10372,10617,9905,8835,8751,9852,10228,9424,7998,7623,7884,8067,7908,8518,7472,7248,7405,8349,8475,8043,8475,8476,8874,8872,9455,9876,8950,8866,8153,8019,8453,7732,6846,7073,6625,7792,7663,6711,6581,6242,7024,6629,6365,6002,8192,8007,7490
1_10:9909,9615,7504,7456,7460,8438,8791,9072,8809,8909,8591,10011,9828,9186,9004,9124,9249,8870,9358,9265,9134,8544,8503,7169,6334,6831,5554,5982,6683,7761,7685,7539,7984,7612,8119,7557,8268,8973,8538,8426,7934,7595,8276,7959,8194,7982,7953,7946,7467,6987,6504,6438,6475,6705,5462,6540,8273,6348,6851
1_11:8289,7731,5606,5093,5956,6943,8107,9290,9222,9356,8521,8586,9292,9490,9137,9194,9033,9099,9243,8697,8640,8875,9158,8414,7487,7401,6430,6099,6048,6716,7388,7468,8021,7079,7303,7779,8346,8387,7904,7708,7467,7523,8462,8373,8679,8512,8313,9039,8069,7788,7056,6912,7058,6787,5508,5225,7384,6808,5992
1_12:8098,8230,6260,5944,5502,6079,6436,6782,7006,8218,8756,9049,9678,9620,9916,10054,9329,8885,9392,9161,8754,9003,8955,8178,7660,7217,6536,6027,5934,5982,5821,5525,6667,6154,6502,7173,6583,6625,6228,7027,6282,6506,7366,8236,8407,8652,8768,8293,7202,6665,5894,5725,5642,5344,5555,5160,6483,6296,6633
1_13:8959,7680,7594,7921,7737,8709,8975,9170,9239,9545,9424,10124,10431,9442,9115,7598,7589,7853,8977,8281,8821,9246,8971,9103,8700,8717,8299,8483,7567,7568,8316,8097,9689,9253,9161,8601,8881,9092,8619,8195,8401,8242,7748,7251,6780,6805,6370,6603,6528,6263,7062,6692,7029,7558,6868,5878,7280,7898,8007
