Timestamp, yaw, pitch, roll
0.0,-0.0581752870953,0.00241650334246,0.0199187662272
0.018,-0.0579412564597,0.00179081155159,0.0196344602491
0.032,-0.0577854897575,0.00139832386449,0.0194181160458
0.05,-0.0573747944017,0.00078950772042,0.0191006530316
0.066,-0.0570486577464,0.000384255971356,0.0186627112915
0.082,-0.0564775728997,-0.000194397658824,0.0181297602535
0.099,-0.0558545737518,-0.000611863167978,0.017402452236
0.115,-0.0550449974791,-0.000737433476837,0.016427939713
0.132,-0.0541580905694,-0.000759569367438,0.0156742312589
0.149,-0.0533095413829,-0.00131233743829,0.0147125711846
0.166,-0.0520145500586,-0.00196163244206,0.0136317544984
0.182,-0.0505028791906,-0.00258680529696,0.0127322640258
0.199,-0.0492705128517,-0.00268064013204,0.0122534708212
0.216,-0.0474681529309,-0.00286151229433,0.0117709003466
0.232,-0.0454784004603,-0.00276253727297,0.0114970107328
0.25,-0.0440364327839,-0.00270619293192,0.0118509403385
0.266,-0.042360191596,-0.00265283713958,0.0121170245118
0.282,-0.0406680631537,-0.00236911525919,0.0123353612954
0.299,-0.0385602317367,-0.00245190476294,0.0124274161669
0.316,-0.0368036841148,-0.00205430989613,0.0125472059397
0.333,-0.0347624266251,-0.00198025748264,0.0121447303625
0.35,-0.0322951781119,-0.00118456287623,0.0121653774939
0.366,-0.0300365180576,-0.000141104904068,0.011914939293
0.383,-0.0286083208663,0.000192131568862,0.011642700104
0.4,-0.0269961625328,0.000539036070904,0.0110137431398
0.416,-0.0246526355225,0.00167000274065,0.00989919790434
0.433,-0.0219215557975,0.00270184651603,0.00819870483118
0.45,-0.0202212081412,0.0034202155626,0.00657016441629
0.466,-0.0182272809403,0.00462620368795,0.00458763130122
0.483,-0.0153581044628,0.00591089552536,0.00209449160908
0.5,-0.0130481442098,0.00697778406912,-0.00011652839298
0.517,-0.0110492070444,0.00792450466879,-0.00182244768746
0.533,-0.00895143163086,0.00788294550592,-0.0034317416989
0.55,-0.00726745483197,0.00865603466822,-0.00447412174295
0.567,-0.0052428464364,0.00964125494675,-0.00604857140018
0.583,-0.00305429930411,0.0111345061502,-0.00765498015913
0.6,-0.00087470428659,0.0121004215354,-0.0101115329127
0.617,0.00156483530494,0.013424460022,-0.0136662633308
0.634,0.00268774095399,0.0145227121101,-0.0165575516318
0.65,0.00427538941699,0.0160792970135,-0.0198499224427
0.667,0.00506575295702,0.0178839481761,-0.0230822160738
0.683,0.00557080568018,0.020198178303,-0.0265380682866
0.7,0.00591798343174,0.0224050397789,-0.0303610035716
0.717,0.00596242336514,0.0246067735771,-0.033709045172
0.734,0.00585022747974,0.0268398509288,-0.0364029736385
0.75,0.00561300820649,0.0288226607909,-0.0391998865398
0.767,0.00451361287424,0.030339975367,-0.0424538802628
0.784,0.00357374156495,0.0322373150238,-0.0455844386038
0.8,0.00291145211364,0.0341333075522,-0.0490643558715
0.817,0.00180865587575,0.0366092493586,-0.0532362682386
0.834,0.000826084780258,0.0394973701694,-0.0582652749711
0.85,0.000234761189486,0.0435367908171,-0.0634485691458
0.867,-0.000592175409091,0.0473484807133,-0.0697555596933
0.885,-0.00124477671073,0.0507211122691,-0.0772914541637
0.901,-0.00229294513297,0.0542561436161,-0.0848746591824
0.918,-0.00273259441005,0.0583544855175,-0.0932452495487
0.934,-0.00373846393804,0.0634310112492,-0.101691838017
0.951,-0.00476718464789,0.0693644500112,-0.111444090471
0.969,-0.00613138411602,0.074564482703,-0.122257607315
0.984,-0.00747671778948,0.0797890146998,-0.133580039083
1.001,-0.00866432791083,0.085536412747,-0.145201319107
1.018,-0.00952524942939,0.0907875673353,-0.156611192592
1.034,-0.0108043945177,0.0949356730011,-0.166675093108
1.051,-0.0132061363072,0.0990906519554,-0.176193632899
1.068,-0.0157735820363,0.103224853367,-0.186488617072
1.084,-0.0190921641846,0.106338935054,-0.196632897726
1.101,-0.0222939964003,0.110000266721,-0.206731784702
1.118,-0.0260515045191,0.11356777453,-0.216659861528
1.135,-0.0298146305002,0.117399921479,-0.22631416396
1.151,-0.0341138401479,0.120441615821,-0.23566361492
1.168,-0.0392889373378,0.123379425484,-0.24490707146
1.185,-0.0448632703122,0.12698265859,-0.254120519453
1.202,-0.051800979355,0.130814683253,-0.263023391164
1.218,-0.0588152974008,0.13355561741,-0.271480595773
1.235,-0.0661117427999,0.135123266618,-0.280122824389
1.253,-0.0739299123348,0.136923517988,-0.28847317742
1.268,-0.0824511394752,0.138609083765,-0.296956952445
1.285,-0.0904363726834,0.141590497776,-0.305437715908
1.302,-0.0996286366521,0.143547577289,-0.31318255098
1.318,-0.108842072894,0.144884341707,-0.320633900305
1.335,-0.118396629137,0.14618669556,-0.327751956282
1.352,-0.128042876916,0.147366163301,-0.335364433341
1.368,-0.13766739498,0.1481885194,-0.343138537712
1.385,-0.147002957007,0.147652293613,-0.350100159699
1.402,-0.155830657289,0.146621619604,-0.354632791664
1.419,-0.16361298684,0.146023867363,-0.358528958909
1.435,-0.171893870555,0.146952833653,-0.362231490837
1.452,-0.179203796138,0.146765212561,-0.364421439341
1.469,-0.186099595239,0.146134581173,-0.36522367481
1.486,-0.192705274838,0.145766207794,-0.365371385649
1.502,-0.198354240109,0.146071345435,-0.365817696347
1.519,-0.203816323988,0.146791472908,-0.367035955778
1.535,-0.208978273423,0.147875212225,-0.369386115947
1.552,-0.213891999141,0.148666231878,-0.370513690843
1.569,-0.218034984257,0.149871083737,-0.371793527026
1.586,-0.222154557661,0.151392571265,-0.372933484648
1.602,-0.225690445452,0.152376888771,-0.374405100791
1.619,-0.229268244383,0.153381594323,-0.376610051271
1.636,-0.232075895166,0.154003503751,-0.37799432406
1.652,-0.234203761911,0.153860601613,-0.378701481608
1.67,-0.236271921625,0.15390297951,-0.37897444192
1.687,-0.238455442533,0.154391145695,-0.379914361413
1.702,-0.240653872709,0.155124819911,-0.381509065158
