frame,value
0,0.996255
1,0.995781
2,0.995779
3,0.995736
4,0.995841
5,0.995627
6,0.995615
7,0.995570
8,0.995509
9,0.995441
10,0.995366
11,0.995282
12,0.995117
13,0.995137
14,0.994976
15,0.995024
16,0.994846
17,0.994960
18,0.994808
19,0.994671
20,0.994460
21,0.994644
22,0.994634
23,0.994525
24,0.994056
25,0.995974
26,0.995426
27,0.994904
28,0.994532
29,0.994874
30,0.994738
31,0.994736
32,0.994293
33,0.994676
34,0.994450
35,0.994540
36,0.994268
37,0.994574
38,0.994222
39,0.994480
40,0.994282
41,0.994454
42,0.993988
43,0.994337
44,0.994209
45,0.994302
46,0.993941
47,0.994244
48,0.994160
49,0.994101
50,0.995783
51,0.995576
52,0.995317
53,0.995246
54,0.995176
55,0.995175
56,0.995044
57,0.994991
58,0.994812
59,0.994919
60,0.994888
61,0.994897
62,0.994789
63,0.994900
64,0.994804
65,0.994838
66,0.994702
67,0.994802
68,0.994722
69,0.994751
70,0.994633
71,0.994703
72,0.994531
73,0.994492
74,0.994290
75,0.995678
76,0.995362
77,0.995321
78,0.994973
79,0.995095
80,0.994925
81,0.994963
82,0.994645
83,0.994929
84,0.994813
85,0.994861
86,0.994528
87,0.994770
88,0.994605
89,0.994623
90,0.994371
91,0.994655
92,0.994531
93,0.994581
94,0.994282
95,0.994581
96,0.994465
97,0.994556
98,0.994242
99,0.994383
100,0.995574
101,0.995281
102,0.994975
103,0.995113
104,0.994948
105,0.994997
106,0.994784
107,0.994913
108,0.994880
109,0.994933
110,0.994731
111,0.994864
112,0.994793
113,0.994794
114,0.994625
115,0.994765
116,0.994677
117,0.994330
118,0.994229
119,0.994395
120,0.994372
121,0.994450
122,0.994263
123,0.994380
124,0.994295
125,0.995598
126,0.995014
127,0.995121
128,0.994903
129,0.994949
130,0.994674
131,0.994900
132,0.994816
133,0.994892
134,0.994544
135,0.994771
136,0.994680
137,0.994763
138,0.994509
139,0.994728
140,0.994603
141,0.994684
142,0.994224
143,0.994497
144,0.994436
145,0.994547
146,0.994247
147,0.994453
148,0.994347
149,0.994340
150,0.995355
151,0.995222
152,0.994767
153,0.994862
154,0.994693
155,0.994771
156,0.994691
157,0.994734
158,0.994600
159,0.994620
160,0.994531
161,0.994611
162,0.994319
163,0.994408
164,0.994373
165,0.994386
166,0.994281
167,0.994400
168,0.994281
169,0.994330
170,0.994134
171,0.994307
172,0.994182
173,0.994107
174,0.993780
175,0.995514
176,0.995054
177,0.995116
178,0.994816
179,0.994969
180,0.994847
181,0.994847
182,0.994572
183,0.994727
184,0.994448
185,0.994490
186,0.994284
187,0.994510
188,0.994409
189,0.994476
190,0.994226
191,0.994479
192,0.994328
193,0.994390
194,0.994101
195,0.994385
196,0.994204
197,0.994304
198,0.994037
199,0.994208
200,0.995387
201,0.995227
202,0.994852
203,0.995024
204,0.994916
205,0.994935
206,0.994729
207,0.994486
208,0.994425
209,0.994470
210,0.994304
211,0.994433
212,0.994383
213,0.994423
214,0.994227
215,0.994420
216,0.994280
217,0.994333
218,0.994125
219,0.994287
220,0.994206
221,0.994091
222,0.993906
223,0.994062
224,0.993998
225,0.995417
226,0.994911
227,0.995006
228,0.994842
229,0.994890
230,0.994642
231,0.994829
232,0.994703
233,0.994654
234,0.994413
235,0.994587
236,0.994478
237,0.994570
238,0.994318
239,0.994498
240,0.994396
241,0.994471
242,0.994214
243,0.994454
244,0.994331
245,0.994279
246,0.994119
247,0.994224
248,0.994229
249,0.994184
250,0.997152
251,0.996669
252,0.996591
253,0.996470
254,0.996611
255,0.996292
256,0.996307
257,0.995854
258,0.995834
259,0.995797
260,0.995788
261,0.995697
262,0.995586
263,0.995562
264,0.995528
265,0.995491
266,0.995383
267,0.995439
268,0.995346
269,0.995341
270,0.995125
271,0.995164
272,0.995125
273,0.995052
274,0.995035
275,0.995547
276,0.994834
277,0.994908
278,0.994718
279,0.994807
280,0.994249
281,0.994591
282,0.994379
283,0.994489
284,0.994208
285,0.994430
286,0.994277
287,0.994298
288,0.993967
289,0.994215
290,0.994068
291,0.994128
292,0.993908
293,0.994160
294,0.993992
295,0.994066
296,0.993832
297,0.993693
298,0.993563
299,0.993587
300,0.995258
301,0.995076
302,0.994927
303,0.994925
304,0.994915
305,0.994969
306,0.994805
307,0.994832
308,0.994738
309,0.994736
310,0.994670
311,0.994709
312,0.994593
313,0.994625
314,0.994561
315,0.994608
316,0.994543
317,0.994575
318,0.994468
319,0.994476
320,0.994324
321,0.994416
322,0.994381
323,0.994356
324,0.994210
325,0.995361
326,0.994901
327,0.994929
328,0.994629
329,0.994826
330,0.994664
331,0.994656
332,0.994415
333,0.994660
334,0.994587
335,0.994645
336,0.994370
337,0.994608
338,0.994469
339,0.994522
340,0.994356
341,0.994514
342,0.994244
343,0.994311
344,0.994077
345,0.994276
346,0.994189
347,0.994239
348,0.993968
349,0.993872
350,0.995344
351,0.995121
352,0.994870
353,0.994955
354,0.994872
355,0.994856
356,0.994673
357,0.994753
358,0.994656
359,0.994686
360,0.994454
361,0.994597
362,0.994494
363,0.994542
364,0.994392
365,0.994505
366,0.994467
367,0.994436
368,0.994214
369,0.994380
370,0.994333
371,0.994373
372,0.994170
373,0.994271
374,0.994109
375,0.995258
376,0.994808
377,0.994921
378,0.994812
379,0.994826
380,0.994517
381,0.994766
382,0.994647
383,0.994726
384,0.994422
385,0.994625
386,0.994517
387,0.994474
388,0.994233
389,0.994446
390,0.994340
391,0.994360
392,0.994040
393,0.994343
394,0.994256
395,0.994372
396,0.994084
397,0.994301
398,0.994026
399,0.994012
400,0.995157
401,0.995003
402,0.994786
403,0.994787
404,0.994607
405,0.994607
406,0.994524
407,0.994595
408,0.994287
409,0.994378
410,0.994330
411,0.994337
412,0.994156
413,0.994243
414,0.994132
415,0.994171
416,0.993958
417,0.994096
418,0.994000
419,0.994007
420,0.993892
421,0.994012
422,0.993968
423,0.993984
424,0.993777
425,0.995209
426,0.994742
427,0.994762
428,0.994318
429,0.994558
430,0.994444
431,0.994487
432,0.994146
433,0.994412
434,0.994290
435,0.994367
436,0.994093
437,0.994317
438,0.994142
439,0.994147
440,0.993644
441,0.994044
442,0.993907
443,0.994029
444,0.993740
445,0.994029
446,0.993843
447,0.993932
448,0.993462
449,0.993828
450,0.995103
451,0.994835
452,0.994388
453,0.994570
454,0.994455
455,0.994499
456,0.994353
457,0.994449
458,0.994422
459,0.994470
460,0.994153
461,0.994422
462,0.994331
463,0.994320
464,0.994093
465,0.994212
466,0.994151
467,0.994159
468,0.993858
469,0.994114
470,0.994095
471,0.994138
472,0.993920
473,0.994135
474,0.994066
475,0.995144
476,0.994439
477,0.994309
478,0.994141
479,0.994244
480,0.994003
481,0.994252
482,0.994091
483,0.994185
484,0.993856
485,0.994085
486,0.993980
487,0.994087
488,0.993711
489,0.993880
490,0.993764
491,0.993904
492,0.993679
493,0.993877
494,0.993749
495,0.993936
496,0.993606
497,0.993761
498,0.993764
499,0.993768
500,0.996954
501,0.996412
502,0.996423
503,0.996377
504,0.996562
505,0.996318
506,0.996284
507,0.996207
508,0.996165
509,0.996030
510,0.995993
511,0.995948
512,0.995862
513,0.995778
514,0.995657
515,0.995614
516,0.995542
517,0.995570
518,0.995512
519,0.995559
520,0.995380
521,0.995410
522,0.995275
523,0.995222
524,0.994990
525,0.995288
526,0.994397
527,0.994418
528,0.993859
529,0.994354
530,0.994210
531,0.994286
532,0.993720
533,0.994222
534,0.994021
535,0.994147
536,0.993469
537,0.993952
538,0.993755
539,0.993826
540,0.993381
541,0.993916
542,0.993749
543,0.993768
544,0.993211
545,0.993783
546,0.993582
547,0.993692
548,0.993335
549,0.993638
550,0.995258
551,0.994911
552,0.994497
553,0.994705
554,0.994630
555,0.994616
556,0.994246
557,0.994467
558,0.994393
559,0.994411
560,0.994021
561,0.994280
562,0.994326
563,0.994369
564,0.994036
565,0.994204
566,0.994223
567,0.993791
568,0.993564
569,0.993888
570,0.993837
571,0.993919
572,0.993671
573,0.993856
574,0.993833
575,0.995207
576,0.994308
577,0.994514
578,0.994340
579,0.994460
580,0.993931
581,0.994344
582,0.994223
583,0.994316
584,0.993925
585,0.994242
586,0.993974
587,0.994264
588,0.994116
589,0.994211
590,0.993964
591,0.994220
592,0.994055
593,0.994134
594,0.993756
595,0.994087
596,0.994022
597,0.994083
598,0.993713
599,0.993713
600,0.995306
601,0.995080
602,0.994695
603,0.994874
604,0.994729
605,0.994786
606,0.994400
607,0.994624
608,0.994599
609,0.994656
610,0.994366
611,0.994527
612,0.994369
613,0.994373
614,0.994168
615,0.994347
616,0.994253
617,0.994260
618,0.994002
619,0.994224
620,0.994174
621,0.994195
622,0.993864
623,0.994162
624,0.994069
625,0.995238
626,0.994462
627,0.994645
628,0.994413
629,0.994503
630,0.994149
631,0.994410
632,0.994303
633,0.994443
634,0.994113
635,0.994315
636,0.994213
637,0.994340
638,0.994005
639,0.994265
640,0.994065
641,0.994221
642,0.993823
643,0.994139
644,0.994023
645,0.994150
646,0.993799
647,0.994072
648,0.993959
649,0.994012
650,0.995055
